"Block","Position","Shade","Species","Stem_growth","Dry_mass_production","Water_content","Mass_per_length","N_content"
1,"Hollow",0,"S. ang/fal",59,0.739,6.43,12.5,10.397
2,"Hollow",0,"S. ang/fal",56,0.788,7.72,14.1,12.21
3,"Hollow",0,"S. ang/fal",36,0.453,8.82,12.6,15.049
1,"Hollow",0,"S. divinum",81,0.38,22,4.7,17.473
2,"Hollow",0,"S. divinum",23,0.271,9.85,11.8,20.295
3,"Hollow",0,"S. divinum",41,0.331,13.71,8.1,13.77
1,"Hollow",1,"S. ang/fal",59,0.426,6.3,7.2,20.65
2,"Hollow",1,"S. ang/fal",77,0.535,9.15,6.9,13.062
3,"Hollow",1,"S. ang/fal",45,0.414,9.31,9.2,-9999
1,"Hollow",1,"S. divinum",19,0.163,8.2,8.6,20.508
2,"Hollow",1,"S. divinum",18,0.173,11.08,9.6,20.508
3,"Hollow",1,"S. divinum",134,0,-9999,-9999,17.737
1,"Hollow",2,"S. ang/fal",81,0.476,9.57,5.9,25.433
2,"Hollow",2,"S. ang/fal",5,0.146,6.95,-9999,23.614
3,"Hollow",2,"S. ang/fal",67,0.32,9.44,4.8,21.992
1,"Hollow",2,"S. divinum",71,0.156,29.64,2.2,25.378
2,"Hollow",2,"S. divinum",27,0.277,9.25,10.3,20.155
3,"Hollow",2,"S. divinum",13,0.187,17.24,14.4,20.155
1,"Hollow",3,"S. ang/fal",66,0.169,10.78,2.6,20.593
2,"Hollow",3,"S. ang/fal",89,0.569,9.21,6.4,20.593
3,"Hollow",3,"S. ang/fal",16,0.177,10.58,11.1,16.536
1,"Hollow",3,"S. divinum",16,0.094,15.28,5.9,26.135
2,"Hollow",3,"S. divinum",37,0.125,14.44,3.4,24.26
3,"Hollow",3,"S. divinum",11,0.111,14.05,10.1,24.26
1,"Hollow",4,"S. ang/fal",62,0.231,9.17,3.7,23.827
2,"Hollow",4,"S. ang/fal",80,0.253,10.19,3.2,23.827
3,"Hollow",4,"S. ang/fal",64,0.252,5.87,3.9,21.442
1,"Hollow",4,"S. divinum",44,0.102,14.39,2.3,25.919
2,"Hollow",4,"S. divinum",67,0.134,11.54,2,-9999
3,"Hollow",4,"S. divinum",64,0.181,10.88,2.8,17.775
1,"Hummock",0,"S. ang/fal",36,0.247,7.1,6.9,17.792
2,"Hummock",0,"S. ang/fal",19,0.2,6,10.5,23.716
3,"Hummock",0,"S. ang/fal",13,0.238,7.87,18.3,29.338
1,"Hummock",0,"S. divinum",0,0,-9999,-9999,-9999
2,"Hummock",0,"S. divinum",14,0.013,5.15,0.9,17.821
3,"Hummock",0,"S. divinum",10,0.173,10.85,17.3,16.082
1,"Hummock",1,"S. ang/fal",35,0.409,8.34,11.7,23.937
2,"Hummock",1,"S. ang/fal",6,0.044,2.86,7.3,13.612
3,"Hummock",1,"S. ang/fal",31,0.3,7.93,9.7,35.562
1,"Hummock",1,"S. divinum",13,0.116,11.24,8.9,17.737
2,"Hummock",1,"S. divinum",29,0.092,8.02,3.2,12.851
3,"Hummock",1,"S. divinum",39,0.326,9.37,8.4,19.281
1,"Hummock",2,"S. ang/fal",37,0.494,3.88,13.4,21.992
2,"Hummock",2,"S. ang/fal",76,0.461,8.72,6.1,14.006
3,"Hummock",2,"S. ang/fal",38,0.378,8.21,9.9,16.714
1,"Hummock",2,"S. divinum",45,0.28,9.93,6.2,23.354
2,"Hummock",2,"S. divinum",63,0.136,9.96,2.2,15.841
3,"Hummock",2,"S. divinum",10,0.089,9.45,8.9,22.355
1,"Hummock",3,"S. ang/fal",55,0.313,8.2,5.7,17.501
2,"Hummock",3,"S. ang/fal",25,0.131,4.5,5.2,30.631
3,"Hummock",3,"S. ang/fal",31,0.177,8.44,5.7,17.083
1,"Hummock",3,"S. divinum",56,0.136,9.96,2.4,24.338
2,"Hummock",3,"S. divinum",24,0.078,4,3.3,16.132
3,"Hummock",3,"S. divinum",14,0.066,13.55,4.7,21.109
1,"Hummock",4,"S. ang/fal",55,0.169,9,3.1,23.657
2,"Hummock",4,"S. ang/fal",43,0.203,9.59,4.7,26.837
3,"Hummock",4,"S. ang/fal",49,0.216,12.1,4.4,25.919
1,"Hummock",4,"S. divinum",43,0.145,9.34,3.4,17.775
2,"Hummock",4,"S. divinum",14,0.11,13.36,7.9,29.55
3,"Hummock",4,"S. divinum",37,0.167,12.11,4.5,-9999
