Sample_ID,Date,Year,Month,Plot,Temperature_treatment,CO2_treatment,Sample_type,N_fixation,CH4_oxidation_tissue,CH4_oxidation_headspace,Water_content
P06_15N2_Rep5-2017,2017-06-01,2017,June,6,0,Ambient,N2,0.9,-9999,-9999,0.8991
P06_15N2_Rep3-2017,2017-06-01,2017,June,6,0,Ambient,N2,4.7,-9999,-9999,0.9217
P06_15N2_Rep4-2017,2017-06-01,2017,June,6,0,Ambient,N2,22.7,-9999,-9999,0.9237
P06_15N2_Rep1-2017,2017-06-01,2017,June,6,0,Ambient,N2,23.8,-9999,-9999,0.9162
P06_15N2_Rep2-2017,2017-06-01,2017,June,6,0,Ambient,N2,25.5,-9999,-9999,0.8939
P08_15N2_Rep5-2017,2017-06-01,2017,June,8,6.75,Ambient,N2,0.3,-9999,-9999,0.9292
P08_15N2_Rep3-2017,2017-06-01,2017,June,8,6.75,Ambient,N2,1.3,-9999,-9999,0.9328
P08_15N2_Rep4-2017,2017-06-01,2017,June,8,6.75,Ambient,N2,3.9,-9999,-9999,0.9166
P08_15N2_Rep1-2017,2017-06-01,2017,June,8,6.75,Ambient,N2,11.2,-9999,-9999,0.9239
P08_15N2_Rep2-2017,2017-06-01,2017,June,8,6.75,Ambient,N2,15.4,-9999,-9999,0.9328
P17_15N2_Rep1-2017,2017-06-01,2017,June,17,9,Ambient,N2,0.6,-9999,-9999,0.9109
P17_15N2_Rep4-2017,2017-06-01,2017,June,17,9,Ambient,N2,2.5,-9999,-9999,0.9002
P17_15N2_Rep5-2017,2017-06-01,2017,June,17,9,Ambient,N2,3.1,-9999,-9999,0.8951
P17_15N2_Rep3-2017,2017-06-01,2017,June,17,9,Ambient,N2,4.4,-9999,-9999,0.8944
P13_15N2_Rep1-2017,2017-06-01,2017,June,13,4.5,Ambient,N2,2.2,-9999,-9999,0.9213
P13_15N2_Rep2-2017,2017-06-01,2017,June,13,4.5,Ambient,N2,4.8,-9999,-9999,0.9093
P13_15N2_Rep4-2017,2017-06-01,2017,June,13,4.5,Ambient,N2,4.9,-9999,-9999,0.8927
