"Block","Position","Shade","Species","Date","Current_length","Length_growth"
1,"Hummock",0,"S. ang/fal",2021-05-20,141,0
1,"Hummock",1,"S. ang/fal",2021-05-20,130,0
1,"Hummock",2,"S. ang/fal",2021-05-20,129,0
1,"Hummock",3,"S. ang/fal",2021-05-20,125,0
1,"Hummock",4,"S. ang/fal",2021-05-20,128,0
1,"Hummock",0,"S. divinum",2021-05-20,142,0
1,"Hummock",1,"S. divinum",2021-05-20,135,0
1,"Hummock",2,"S. divinum",2021-05-20,127,0
1,"Hummock",3,"S. divinum",2021-05-20,124,0
1,"Hummock",4,"S. divinum",2021-05-20,125,0
1,"Hollow",0,"S. ang/fal",2021-05-20,139,0
1,"Hollow",1,"S. ang/fal",2021-05-20,139,0
1,"Hollow",2,"S. ang/fal",2021-05-20,133,0
1,"Hollow",3,"S. ang/fal",2021-05-20,134,0
1,"Hollow",4,"S. ang/fal",2021-05-20,138,0
1,"Hollow",0,"S. divinum",2021-05-20,127,0
1,"Hollow",1,"S. divinum",2021-05-20,129,0
1,"Hollow",2,"S. divinum",2021-05-20,120,0
1,"Hollow",3,"S. divinum",2021-05-20,131,0
1,"Hollow",4,"S. divinum",2021-05-20,136,0
2,"Hummock",0,"S. ang/fal",2021-05-20,134,0
2,"Hummock",1,"S. ang/fal",2021-05-20,67,0
2,"Hummock",2,"S. ang/fal",2021-05-20,121,0
2,"Hummock",3,"S. ang/fal",2021-05-20,133,0
2,"Hummock",4,"S. ang/fal",2021-05-20,63,0
2,"Hummock",0,"S. divinum",2021-05-20,137,0
2,"Hummock",1,"S. divinum",2021-05-20,84,0
2,"Hummock",2,"S. divinum",2021-05-20,135,0
2,"Hummock",3,"S. divinum",2021-05-20,135,0
2,"Hummock",4,"S. divinum",2021-05-20,54,0
2,"Hollow",0,"S. ang/fal",2021-05-20,128,0
2,"Hollow",1,"S. ang/fal",2021-05-20,129,0
2,"Hollow",2,"S. ang/fal",2021-05-20,123,0
2,"Hollow",3,"S. ang/fal",2021-05-20,129,0
2,"Hollow",4,"S. ang/fal",2021-05-20,128,0
2,"Hollow",0,"S. divinum",2021-05-20,128,0
2,"Hollow",1,"S. divinum",2021-05-20,131,0
2,"Hollow",2,"S. divinum",2021-05-20,128,0
2,"Hollow",3,"S. divinum",2021-05-20,132,0
2,"Hollow",4,"S. divinum",2021-05-20,132,0
3,"Hummock",0,"S. ang/fal",2021-05-20,132,0
3,"Hummock",1,"S. ang/fal",2021-05-20,134,0
3,"Hummock",2,"S. ang/fal",2021-05-20,130,0
3,"Hummock",3,"S. ang/fal",2021-05-20,135,0
3,"Hummock",4,"S. ang/fal",2021-05-20,128,0
3,"Hummock",0,"S. divinum",2021-05-20,125,0
3,"Hummock",1,"S. divinum",2021-05-20,121,0
3,"Hummock",2,"S. divinum",2021-05-20,135,0
3,"Hummock",3,"S. divinum",2021-05-20,136,0
3,"Hummock",4,"S. divinum",2021-05-20,125,0
3,"Hollow",0,"S. ang/fal",2021-05-20,128,0
3,"Hollow",1,"S. ang/fal",2021-05-20,137,0
3,"Hollow",2,"S. ang/fal",2021-05-20,127,0
3,"Hollow",3,"S. ang/fal",2021-05-20,131,0
3,"Hollow",4,"S. ang/fal",2021-05-20,130,0
3,"Hollow",0,"S. divinum",2021-05-20,130,0
3,"Hollow",1,"S. divinum",2021-05-20,134,0
3,"Hollow",2,"S. divinum",2021-05-20,123,0
3,"Hollow",3,"S. divinum",2021-05-20,130,0
3,"Hollow",4,"S. divinum",2021-05-20,127,0
1,"Hummock",0,"S. ang/fal",2021-05-28,137,4
1,"Hummock",1,"S. ang/fal",2021-05-28,129,1
1,"Hummock",2,"S. ang/fal",2021-05-28,128,1
1,"Hummock",3,"S. ang/fal",2021-05-28,124,1
1,"Hummock",4,"S. ang/fal",2021-05-28,128,0
1,"Hummock",0,"S. divinum",2021-05-28,141,1
1,"Hummock",1,"S. divinum",2021-05-28,135,0
1,"Hummock",2,"S. divinum",2021-05-28,127,0
1,"Hummock",3,"S. divinum",2021-05-28,117,7
1,"Hummock",4,"S. divinum",2021-05-28,123,2
1,"Hollow",0,"S. ang/fal",2021-05-28,131,8
1,"Hollow",1,"S. ang/fal",2021-05-28,133,6
1,"Hollow",2,"S. ang/fal",2021-05-28,121,12
1,"Hollow",3,"S. ang/fal",2021-05-28,127,7
1,"Hollow",4,"S. ang/fal",2021-05-28,135,3
1,"Hollow",0,"S. divinum",2021-05-28,122,5
1,"Hollow",1,"S. divinum",2021-05-28,127,2
1,"Hollow",2,"S. divinum",2021-05-28,119,1
1,"Hollow",3,"S. divinum",2021-05-28,128,3
1,"Hollow",4,"S. divinum",2021-05-28,135,1
2,"Hummock",0,"S. ang/fal",2021-05-28,132,2
2,"Hummock",1,"S. ang/fal",2021-05-28,66,1
2,"Hummock",2,"S. ang/fal",2021-05-28,119,2
2,"Hummock",3,"S. ang/fal",2021-05-28,133,0
2,"Hummock",4,"S. ang/fal",2021-05-28,63,0
2,"Hummock",0,"S. divinum",2021-05-28,131,6
2,"Hummock",1,"S. divinum",2021-05-28,77,7
2,"Hummock",2,"S. divinum",2021-05-28,133,2
2,"Hummock",3,"S. divinum",2021-05-28,125,10
2,"Hummock",4,"S. divinum",2021-05-28,53,1
2,"Hollow",0,"S. ang/fal",2021-05-28,122,6
2,"Hollow",1,"S. ang/fal",2021-05-28,121,8
2,"Hollow",2,"S. ang/fal",2021-05-28,122,1
2,"Hollow",3,"S. ang/fal",2021-05-28,115,14
2,"Hollow",4,"S. ang/fal",2021-05-28,123,5
2,"Hollow",0,"S. divinum",2021-05-28,126,2
2,"Hollow",1,"S. divinum",2021-05-28,127,4
2,"Hollow",2,"S. divinum",2021-05-28,126,2
2,"Hollow",3,"S. divinum",2021-05-28,126,6
2,"Hollow",4,"S. divinum",2021-05-28,128,4
3,"Hummock",0,"S. ang/fal",2021-05-28,133,-1
3,"Hummock",1,"S. ang/fal",2021-05-28,127,7
3,"Hummock",2,"S. ang/fal",2021-05-28,129,1
3,"Hummock",3,"S. ang/fal",2021-05-28,127,8
3,"Hummock",4,"S. ang/fal",2021-05-28,130,-2
3,"Hummock",0,"S. divinum",2021-05-28,125,0
3,"Hummock",1,"S. divinum",2021-05-28,120,1
3,"Hummock",2,"S. divinum",2021-05-28,133,2
3,"Hummock",3,"S. divinum",2021-05-28,135,1
3,"Hummock",4,"S. divinum",2021-05-28,128,-3
3,"Hollow",0,"S. ang/fal",2021-05-28,125,3
3,"Hollow",1,"S. ang/fal",2021-05-28,138,-1
3,"Hollow",2,"S. ang/fal",2021-05-28,123,4
3,"Hollow",3,"S. ang/fal",2021-05-28,126,5
3,"Hollow",4,"S. ang/fal",2021-05-28,133,-3
3,"Hollow",0,"S. divinum",2021-05-28,118,12
3,"Hollow",1,"S. divinum",2021-05-28,134,0
3,"Hollow",2,"S. divinum",2021-05-28,119,4
3,"Hollow",3,"S. divinum",2021-05-28,130,0
3,"Hollow",4,"S. divinum",2021-05-28,134,-7
1,"Hummock",0,"S. ang/fal",2021-06-11,128,13
1,"Hummock",1,"S. ang/fal",2021-06-11,127,3
1,"Hummock",2,"S. ang/fal",2021-06-11,115,14
1,"Hummock",3,"S. ang/fal",2021-06-11,123,2
1,"Hummock",4,"S. ang/fal",2021-06-11,125,3
1,"Hummock",0,"S. divinum",2021-06-11,148,-6
1,"Hummock",1,"S. divinum",2021-06-11,132,3
1,"Hummock",2,"S. divinum",2021-06-11,112,15
1,"Hummock",3,"S. divinum",2021-06-11,115,9
1,"Hummock",4,"S. divinum",2021-06-11,114,11
1,"Hollow",0,"S. ang/fal",2021-06-11,97,42
1,"Hollow",1,"S. ang/fal",2021-06-11,116,23
1,"Hollow",2,"S. ang/fal",2021-06-11,90,43
1,"Hollow",3,"S. ang/fal",2021-06-11,115,19
1,"Hollow",4,"S. ang/fal",2021-06-11,114,24
1,"Hollow",0,"S. divinum",2021-06-11,109,18
1,"Hollow",1,"S. divinum",2021-06-11,118,11
