"Block","Shade","Q","CO2_flux","NPQ","ETR","N"
1,1,30,-64.577,-0.0787,0.00516,1.171
1,1,75,-14.057,-0.0426,0.01228,1.171
1,1,150,24.466,0.3569,0.02054,1.171
1,1,250,43.619,0.8831,0.02677,1.171
1,1,500,60.217,1.6626,0.03081,1.171
1,1,750,67.436,1.9477,0.03102,1.171
1,1,1000,71.79,2.0927,0.02894,1.171
1,1,1250,73.692,2.1816,0.02855,1.171
2,1,30,-56.379,-0.0592,0.00445,1.024
2,1,75,-10.078,0.1223,0.01014,1.024
2,1,150,13.984,0.7037,0.01604,1.024
2,1,250,28.625,1.2314,0.02015,1.024
2,1,500,39.326,1.8653,0.02252,1.024
2,1,750,48.589,2.0614,0.02357,1.024
2,1,1000,51.752,2.1675,0.02209,1.024
2,1,1250,52.183,2.2438,0.02123,1.024
3,1,30,-44.851,-0.0951,0.00447,1.174
3,1,75,-16.325,0.0163,0.01042,1.174
3,1,150,8.17,0.4367,0.01754,1.174
3,1,250,27.238,0.9215,0.02289,1.174
3,1,500,40.831,1.6521,0.02596,1.174
3,1,750,49.094,1.9322,0.02635,1.174
3,1,1000,53.667,2.1019,0.025,1.174
3,1,1250,54.197,2.194,0.02153,1.174
1,4,30,-17.27,0.017,0.00436,2.019
1,4,75,8.785,0.2746,0.00956,2.019
1,4,150,26.112,0.7385,0.01482,2.019
1,4,250,37.571,1.1348,0.01779,2.019
1,4,500,40.929,1.5423,0.01919,2.019
1,4,750,46.386,1.6502,0.01863,2.019
1,4,1000,44.724,1.7251,0.01801,2.019
1,4,1250,45.289,1.7481,0.01743,2.019
2,4,30,-35.148,-0.028,0.00378,1.669
2,4,75,-10.14,0.205,0.00825,1.669
2,4,150,7.867,0.6417,0.01277,1.669
2,4,250,20.563,1.0114,0.01542,1.669
2,4,500,34.545,1.4248,0.01665,1.669
2,4,750,40.3,1.597,0.01529,1.669
2,4,1000,38.64,1.6751,0.015,1.669
2,4,1250,43.676,1.7538,0.01362,1.669
3,4,30,-65.526,0.0173,0.00406,1.459
3,4,75,-38.101,0.2063,0.00903,1.459
3,4,150,-11.506,0.5709,0.01439,1.459
3,4,250,4.64,0.9375,0.01769,1.459
3,4,500,23.446,1.3831,0.01982,1.459
3,4,750,33.544,1.5838,0.01933,1.459
3,4,1000,41.046,1.7047,0.01785,1.459
3,4,1250,44.579,1.8047,0.0166,1.459
